Body,PTT,Seal,ai,ci,di,ei,temp
240A164,281739,PS146_Weddell_AF_01,0.9464,0.00105,0.9969,0,0
240A165,281740,PS146_Weddell_AF_02,0.945,0.00106,0.9967,0,0
240A166,281741,PS146_Weddell_AF_04,0.9487,0.000498,0.9982,0,0
240A167,281742,PS146_Weddell_AM_05,0.9464,0.000697,0.998,0,0
240A169,281743,PS146_Weddell_AF_13,0.9459,0.0011,0.996,0,0
240A172,281744,PS146_Weddell_AF_08,0.9416,0.00101,0.9969,0,0
240A173,281744,U,0.943,0.001006,0.9979,0,0
15648,203016,PS146_Weddell_AF_03,0,0,0,0.999471,0.2
15650,203011,PS146_Weddell_AF_06,0,0,0,1.000862,0
15651,203014,PS146_Weddell_AF_09,0,0,0,0.998612,0
15656,203015,PS146_Weddell_AM_10,0,0,0,1.000975,0
15657,203019,PS146_Weddell_AM_11,0,0,0,0.999692,0
15653,203022,PS146_Weddell_AF_12,0,0,0,1.000434,0
